Departmets,Groups,Job Type,Marital Status,Age,Business Unit,Hire Date,Emp.Type,Sick Days,Balance Days,Years in current role,Years since last promition,Education,Job Involvement,Job Satisfaction,Performance Rating,Relationship Satisfaction,WorkLife Balance,Last Name,Gender,Salary,Job Classification,Emp No.
Quality Assurance,Group A,Full Time,Divorced,46,Houston,00:00.0,Active,12,18,3 Years,2 Years,College,Low,High,Good,Very High,Better,Gamble,Male,100819,Other,1617
Customer Service,Group B,Full Time,Divorced,58,Los Angeles,00:00.0,Non Active,6,12,3 Years,2 Years,Doctor,Medium,Very High,Excellent,High,Good,Little,Female,74406,Other,1644
Customer Service,Group C,Full Time,Divorced,61,Los Angeles,00:00.0,Non Active,4,15,3 Years,2 Years,College,Very High,Low,Low,Medium,Good,Lindsey,Male,96289,Other,1671
Quality Assurance,Group A,Full Time,Divorced,53,New York City,00:00.0,Non Active,6,20,1 Year,2 Years,Doctor,Medium,Very High,Outstanding,Low,Better,Webb,Female,99038,Other,1675
Finances,Group D,Full Time,Divorced,30,Houston,00:00.0,Non Active,4,19,1 Year,2 Years,College,High,Low,Low,Very High,Good,Singleton,Female,92662,Other,1743
Asset Management,Group D,Full Time,Divorced,26,New York City,00:00.0,Active,6,17,3 Years,2 Years,Masters,Low,Very High,Low,Medium,Better,Holt,Male,89521,Other,1770
Accounting,Group A,Full Time,Divorced,44,Houston,00:00.0,Active,9,14,2 Years,2 Years,Bachelor,Low,Low,Good,Medium,Best,Rowland,Male,76582,Other,1775
Research and Development,Group C,Part Time,Divorced,63,Houston,00:00.0,Non Active,8,14,3 Years,2 Years,Doctor,High,Very High,Outstanding,Very High,Good,Holmes,Male,115226,Other,1831
Tech Support,Group C,Full Time,Divorced,36,Houston,00:00.0,Non Active,5,16,2 Years,2 Years,Doctor,Medium,Very High,Low,High,Best,Riley,Male,106787,Other,1880
Advertising,Group D,Part Time,Divorced,60,Los Angeles,00:00.0,Non Active,9,9,3 Years,2 Years,Masters,Low,High,Good,Very High,Best,Scott,Female,78476,Other,1968
Accounting,Group C,Full Time,Divorced,44,Seattle,00:00.0,Non Active,6,10,1 Year,2 Years,College,Low,High,Good,Very High,Best,Fischer,Female,85099,Other,2050
Customer Relations,Group B,Part Time,Divorced,28,Houston,00:00.0,Active,1,19,2 Years,2 Years,Doctor,Low,Very High,Outstanding,Very High,Bad,Salinas,Female,71528,Other,2086
Tech Support,Group A,Part Time,Divorced,59,New York City,00:00.0,Active,1,16,1 Year,2 Years,Bachelor,Very High,High,Excellent,Very High,Good,Brady,Male,101171,Other,2104
Advertising,Group B,Part Time,Divorced,44,Los Angeles,00:00.0,Active,4,9,2 Years,2 Years,Bachelor,High,High,Low,Low,Better,Duke,Female,119136,Other,2166
Payroll,Group A,Full Time,Divorced,65,New York City,00:00.0,Active,10,14,3 Years,2 Years,Doctor,Very High,Low,Outstanding,High,Better,Lewis,Male,80856,Other,2173
Human Resources,Group B,Full Time,Divorced,27,Los Angeles,00:00.0,Active,5,15,1 Year,2 Years,Bachelor,Very High,Very High,Outstanding,Very High,Good,Jacobson,Male,94996,Other,2193
Research and Development,Group C,Part Time,Divorced,48,New York City,00:00.0,Active,6,8,3 Years,2 Years,Doctor,Very High,Medium,Outstanding,Low,Bad,Bailey,Male,83210,Other,2220
Sales and Marketing,Group B,Part Time,Divorced,38,New York City,00:00.0,Non Active,1,18,1 Year,2 Years,Masters,Medium,Very High,Outstanding,Medium,Better,Powell,Female,75035,Other,2228
Accounting,Group B,Part Time,Divorced,48,Houston,00:00.0,Non Active,2,13,3 Years,2 Years,Bachelor,Medium,Low,Excellent,High,Better,Richardson,Male,97334,Other,2229
Quality Assurance,Group B,Part Time,Divorced,35,Seattle,00:00.0,Non Active,2,11,2 Years,2 Years,Masters,Medium,Low,Good,Very High,Better,Vinson,Male,99030,Other,2249
Finances,Group B,Part Time,Divorced,65,Los Angeles,00:00.0,Non Active,1,8,2 Years,2 Years,Doctor,Medium,High,Outstanding,Medium,Good,Bass,Female,83887,Other,2262
Finances,Group C,Full Time,Divorced,57,New York City,00:00.0,Non Active,10,10,3 Years,2 Years,Bachelor,Low,Low,Outstanding,Medium,Good,Burke,Male,106258,Other,2306
Asset Management,Group C,Part Time,Divorced,37,Seattle,00:00.0,Non Active,5,12,2 Years,2 Years,Masters,High,Low,Low,Low,Good,Beasley,Male,87863,Other,2332
Advertising,Group A,Part Time,Divorced,60,Houston,00:00.0,Non Active,11,20,1 Year,2 Years,Masters,High,Low,Good,High,Bad,Jensen,Female,105628,Other,2388
Customer Service,Group B,Part Time,Divorced,52,Los Angeles,00:00.0,Non Active,7,9,1 Year,2 Years,Doctor,Very High,Low,Good,Low,Best,Hunter,Male,108004,Other,2400
Tech Support,Group B,Part Time,Divorced,61,New York City,00:00.0,Active,1,9,1 Year,2 Years,Masters,Very High,Medium,Good,Low,Bad,Hardin,Female,86507,Other,2553
Asset Management,Group A,Part Time,Divorced,37,Los Angeles,00:00.0,Active,12,14,3 Years,2 Years,Bachelor,Very High,Very High,Excellent,Low,Better,Madden,Male,82602,Other,2568
Media Relations,Group A,Part Time,Divorced,42,Houston,00:00.0,Non Active,7,7,1 Year,2 Years,College,Low,Low,Low,High,Bad,Nicholson,Male,72226,Other,2585
Human Resources,Group A,Full Time,Divorced,34,New York City,00:00.0,Non Active,8,17,3 Years,2 Years,Doctor,Very High,Low,Outstanding,High,Good,Horne,Male,83682,Other,2629
Quality Assurance,Group C,Full Time,Divorced,56,Los Angeles,00:00.0,Non Active,4,12,3 Years,2 Years,Doctor,Low,Low,Excellent,Very High,Best,Willis,Female,86048,Other,2643
Customer Relations,Group C,Full Time,Divorced,56,Seattle,00:00.0,Active,3,15,1 Year,2 Years,Bachelor,Very High,Low,Excellent,Medium,Better,Freeman,Female,113211,Other,2692
Public Relations,Group A,Part Time,Divorced,27,Seattle,00:00.0,Active,6,8,2 Years,2 Years,Bachelor,Very High,Low,Low,Low,Better,Powell,Female,116602,Other,2717
Finances,Group B,Part Time,Divorced,64,Seattle,00:00.0,Active,1,17,2 Years,2 Years,College,Very High,High,Outstanding,Very High,Good,Clemons,Female,74906,Other,2721
Asset Management,Group A,Part Time,Divorced,31,New York City,00:00.0,Non Active,11,17,3 Years,2 Years,Doctor,High,High,Low,Low,Best,Obrien,Male,79955,Other,2742
Research and Development,Group C,Full Time,Divorced,24,Los Angeles,00:00.0,Non Active,3,9,2 Years,2 Years,Doctor,Very High,Very High,Low,High,Bad,Mullins,Female,84724,Other,2836
Customer Service,Group B,Full Time,Divorced,45,Houston,00:00.0,Non Active,8,15,1 Year,2 Years,College,High,Very High,Good,Very High,Bad,Allison,Female,99017,Other,2837
Media Relations,Group C,Part Time,Divorced,33,Los Angeles,00:00.0,Active,5,15,3 Years,2 Years,College,Very High,Low,Low,Very High,Better,Shields,Female,75353,Other,2913
Asset Management,Group B,Part Time,Divorced,64,Houston,00:00.0,Active,11,10,2 Years,2 Years,Bachelor,Low,Low,Low,High,Better,Randall,Male,89507,Other,2923
Advertising,Group B,Full Time,Divorced,32,Los Angeles,00:00.0,Active,4,12,1 Year,2 Years,Doctor,Very High,Medium,Low,High,Best,Britt,Male,104105,Other,2970
Payroll,Group D,Full Time,Divorced,65,Seattle,00:00.0,Active,12,17,3 Years,2 Years,Bachelor,Medium,Low,Excellent,Very High,Bad,Farrell,Male,88137,Other,2996
Quality Assurance,Group B,Full Time,Divorced,53,Seattle,00:00.0,Non Active,5,6,1 Year,2 Years,Doctor,High,Very High,Excellent,Low,Better,Barber,Female,103317,Other,3005
Payroll,Group C,Part Time,Divorced,45,Los Angeles,00:00.0,Active,5,20,3 Years,2 Years,Doctor,Medium,Very High,Good,Low,Good,Franklin,Female,119680,Other,3051
Finances,Group D,Full Time,Divorced,57,New York City,00:00.0,Non Active,9,10,3 Years,2 Years,Bachelor,Medium,Medium,Good,Low,Better,Stanton,Female,98411,Other,3081
Quality Assurance,Group C,Full Time,Divorced,35,Houston,00:00.0,Non Active,10,18,2 Years,2 Years,Bachelor,Low,Very High,Low,Low,Bad,Simpson,Female,100021,Other,3083
Accounting,Group C,Full Time,Divorced,64,New York City,00:00.0,Non Active,6,10,1 Year,2 Years,Bachelor,High,Very High,Low,High,Better,Snider,Male,77603,Other,3102
Customer Service,Group C,Part Time,Divorced,56,New York City,00:00.0,Active,1,6,2 Years,2 Years,Masters,High,Low,Good,Medium,Good,Burt,Female,108424,Other,3127
Asset Management,Group C,Full Time,Divorced,52,Seattle,00:00.0,Non Active,7,18,1 Year,2 Years,Bachelor,High,Medium,Outstanding,Medium,Good,Gonzalez,Male,101825,Other,3163
Customer Relations,Group C,Full Time,Divorced,39,Los Angeles,00:00.0,Non Active,9,14,1 Year,2 Years,Doctor,Medium,Very High,Excellent,Medium,Better,Ratliff,Female,108499,Other,3175
Tech Support,Group C,Part Time,Divorced,58,Los Angeles,00:00.0,Active,6,5,2 Years,2 Years,Doctor,High,High,Good,Low,Bad,Duncan,Female,83500,Other,3188
Quality Assurance,Group C,Full Time,Divorced,60,Seattle,00:00.0,Active,2,7,2 Years,2 Years,Bachelor,High,Medium,Excellent,Medium,Good,Carey,Female,100499,Other,3230
Advertising,Group D,Part Time,Divorced,56,New York City,00:00.0,Non Active,12,16,3 Years,2 Years,College,Medium,Very High,Low,Medium,Better,Garner,Male,104168,Other,3259
Tech Support,Group C,Part Time,Divorced,34,Los Angeles,00:00.0,Non Active,4,15,2 Years,2 Years,Doctor,High,Medium,Outstanding,Very High,Good,Chan,Male,77345,Other,3312
Finances,Group A,Part Time,Divorced,53,New York City,00:00.0,Active,10,7,2 Years,2 Years,Bachelor,Medium,Very High,Low,Medium,Better,Moss,Female,95382,Other,3321
Public Relations,Group C,Part Time,Divorced,36,New York City,00:00.0,Non Active,5,6,1 Year,2 Years,Bachelor,Low,High,Good,Very High,Best,Avery,Male,114258,Other,3367
Public Relations,Group A,Part Time,Divorced,35,Los Angeles,00:00.0,Non Active,11,16,3 Years,2 Years,College,Medium,Very High,Good,Low,Best,Alston,Male,98730,Other,3379
Research and Development,Group D,Part Time,Divorced,36,Los Angeles,00:00.0,Non Active,5,8,1 Year,2 Years,Doctor,High,Medium,Excellent,Low,Better,Hubbard,Male,75481,Other,3416
Public Relations,Group D,Full Time,Divorced,63,Houston,00:00.0,Active,8,19,2 Years,2 Years,Masters,High,Medium,Outstanding,High,Best,Dyer,Male,71805,Other,3447
Advertising,Group A,Full Time,Divorced,62,Seattle,00:00.0,Non Active,4,15,1 Year,2 Years,Masters,High,Very High,Excellent,Low,Best,Mcmillan,Female,101834,Other,3461
Sales and Marketing,Group B,Part Time,Divorced,41,Los Angeles,00:00.0,Non Active,7,13,1 Year,2 Years,College,Medium,Low,Excellent,Medium,Better,Cummings,Female,96267,Other,3485
Customer Service,Group D,Full Time,Divorced,31,Seattle,00:00.0,Non Active,6,14,3 Years,2 Years,Doctor,High,High,Low,Low,Bad,Wagner,Male,117384,Other,3490
Finances,Group C,Full Time,Divorced,27,New York City,00:00.0,Active,3,7,3 Years,2 Years,College,High,Medium,Outstanding,Very High,Best,Gardner,Female,87284,Other,3515
Accounting,Group A,Full Time,Single,62,Los Angeles,00:00.0,Active,7,7,1 Year,2 Years,Bachelor,Medium,Low,Good,Medium,Bad,Jensen,Female,108554,Other,5
Quality Assurance,Group B,Part Time,Single,52,New York City,00:00.0,Active,9,6,3 Years,2 Years,Bachelor,Low,Medium,Excellent,Low,Best,Roy,Male,70019,Other,30
Tech Support,Group D,Full Time,Single,24,New York City,00:00.0,Active,2,19,3 Years,2 Years,Doctor,Low,Low,Outstanding,Medium,Good,Luna,Female,113237,Other,33
Human Resources,Group B,Part Time,Single,33,Seattle,00:00.0,Non Active,7,8,1 Year,2 Years,Doctor,High,Very High,Low,Very High,Good,Barry,Female,106830,Other,48
Customer Relations,Group D,Full Time,Single,59,Los Angeles,00:00.0,Non Active,7,18,2 Years,2 Years,Bachelor,Very High,Low,Excellent,High,Good,Glenn,Male,77117,Other,72
Public Relations,Group D,Part Time,Single,55,Los Angeles,00:00.0,Non Active,11,5,1 Year,2 Years,Bachelor,Medium,Medium,Excellent,Low,Best,Ferrell,Male,97603,Other,95
Tech Support,Group B,Part Time,Single,49,Houston,00:00.0,Non Active,4,8,1 Year,2 Years,Masters,High,Low,Good,High,Best,Snider,Female,117631,Other,99
Tech Support,Group D,Part Time,Single,49,Los Angeles,00:00.0,Non Active,10,11,2 Years,2 Years,Bachelor,Medium,High,Outstanding,Medium,Bad,Edwards,Female,108925,Other,149
Quality Assurance,Group A,Full Time,Single,51,Los Angeles,00:00.0,Non Active,5,19,3 Years,2 Years,College,Very High,Medium,Low,High,Best,Bonner,Male,105746,Other,168
Media Relations,Group D,Full Time,Single,30,Seattle,00:00.0,Non Active,10,7,3 Years,2 Years,College,Low,Low,Excellent,High,Good,Lewis,Male,101052,Other,193
Media Relations,Group A,Part Time,Single,34,Houston,00:00.0,Active,11,5,3 Years,2 Years,College,Low,Low,Low,Low,Better,Cain,Female,93746,Other,244
Research and Development,Group A,Full Time,Single,26,Seattle,00:00.0,Non Active,10,5,3 Years,2 Years,Masters,Medium,Low,Low,High,Best,Luna,Female,96815,Other,276
Quality Assurance,Group C,Part Time,Single,54,Seattle,00:00.0,Active,10,17,3 Years,2 Years,Masters,High,High,Good,Medium,Best,Dickerson,Male,90451,Other,309
Advertising,Group C,Part Time,Single,25,Houston,00:00.0,Active,6,8,1 Year,2 Years,Bachelor,Medium,Low,Low,Very High,Better,Todd,Female,105959,Other,326
Quality Assurance,Group B,Part Time,Single,49,Seattle,00:00.0,Active,3,14,2 Years,2 Years,College,Medium,High,Excellent,Medium,Best,Chan,Female,73917,Other,420
Media Relations,Group C,Full Time,Single,65,Los Angeles,00:00.0,Non Active,7,19,2 Years,2 Years,College,Medium,Very High,Good,Low,Better,Barr,Female,104434,Other,421
Media Relations,Group A,Part Time,Single,57,New York City,00:00.0,Active,12,7,2 Years,2 Years,College,Low,Medium,Good,Medium,Good,Booker,Male,73871,Other,501
Media Relations,Group D,Full Time,Single,59,Houston,00:00.0,Non Active,4,10,3 Years,2 Years,Bachelor,Medium,Low,Low,Low,Best,Berger,Male,89133,Other,510
Customer Service,Group D,Part Time,Single,30,Houston,00:00.0,Active,3,17,2 Years,2 Years,Bachelor,Very High,Very High,Low,Very High,Bad,Vaughn,Female,89765,Other,543
Asset Management,Group D,Part Time,Single,54,Seattle,00:00.0,Non Active,8,20,1 Year,2 Years,Masters,Low,Very High,Low,Medium,Best,Bird,Male,95793,Other,558
Media Relations,Group D,Part Time,Single,43,Los Angeles,00:00.0,Active,8,16,1 Year,2 Years,Masters,Low,High,Good,High,Better,Casey,Male,78016,Other,559
Asset Management,Group A,Part Time,Single,45,New York City,00:00.0,Non Active,6,17,2 Years,2 Years,Bachelor,Very High,Low,Outstanding,High,Better,Gregory,Female,77239,Other,570
Asset Management,Group A,Full Time,Single,33,Los Angeles,00:00.0,Active,2,11,3 Years,2 Years,Masters,Low,Medium,Low,High,Good,Rich,Male,106886,Other,572
Sales and Marketing,Group D,Full Time,Single,57,Seattle,00:00.0,Non Active,8,15,3 Years,2 Years,Masters,Medium,Very High,Outstanding,Very High,Better,Short,Male,117769,Other,623
Asset Management,Group D,Part Time,Single,30,Houston,00:00.0,Active,6,7,1 Year,2 Years,Bachelor,High,Very High,Outstanding,Very High,Good,Hurley,Female,79113,Other,645
Human Resources,Group B,Part Time,Single,42,New York City,00:00.0,Non Active,3,9,3 Years,2 Years,Bachelor,Very High,Very High,Excellent,Very High,Best,Morris,Female,101562,Other,653
Human Resources,Group B,Part Time,Single,26,Los Angeles,00:00.0,Non Active,5,7,1 Year,2 Years,Doctor,Low,Low,Low,Medium,Better,Atkins,Male,84490,Other,654
Media Relations,Group A,Part Time,Single,58,New York City,00:00.0,Active,7,14,1 Year,2 Years,Doctor,Very High,Medium,Good,Very High,Bad,Sargent,Female,90049,Other,770
Payroll,Group B,Part Time,Single,40,Seattle,00:00.0,Non Active,5,9,3 Years,2 Years,Masters,High,Low,Low,High,Better,Puckett,Female,96249,Other,772
Media Relations,Group C,Full Time,Single,44,Seattle,00:00.0,Non Active,5,18,3 Years,2 Years,Masters,Low,Medium,Good,Medium,Good,Ballard,Female,117345,Other,780
Payroll,Group B,Part Time,Single,46,New York City,00:00.0,Active,11,7,2 Years,2 Years,Bachelor,Low,High,Low,Medium,Bad,Livingston,Male,90360,Other,784
Quality Assurance,Group A,Full Time,Single,50,New York City,00:00.0,Active,11,17,1 Year,2 Years,Doctor,Very High,Very High,Outstanding,Low,Bad,Sheppard,Female,72084,Other,808
Tech Support,Group A,Part Time,Single,37,Los Angeles,00:00.0,Active,11,13,2 Years,2 Years,Masters,Low,Very High,Excellent,Medium,Bad,Kinney,Male,90059,Other,925
Asset Management,Group D,Part Time,Single,30,Los Angeles,00:00.0,Non Active,7,10,3 Years,2 Years,College,Very High,Very High,Outstanding,Very High,Best,Gilmore,Male,80578,Other,1034
Media Relations,Group B,Part Time,Single,30,Seattle,00:00.0,Active,7,9,1 Year,2 Years,Masters,Low,Low,Outstanding,High,Good,Conner,Male,86570,Other,1035
Public Relations,Group C,Full Time,Single,57,Seattle,00:00.0,Non Active,1,12,3 Years,2 Years,Bachelor,Very High,Very High,Excellent,Very High,Bad,Buckner,Male,71721,Other,1040
Asset Management,Group A,Full Time,Single,26,Los Angeles,00:00.0,Non Active,8,19,1 Year,2 Years,College,Low,Low,Low,High,Best,Brock,Female,81041,Other,1041
Customer Relations,Group C,Part Time,Single,60,Houston,00:00.0,Non Active,12,12,2 Years,2 Years,Masters,Medium,High,Outstanding,Medium,Best,Mckee,Female,105418,Other,1161
Accounting,Group A,Full Time,Single,38,New York City,00:00.0,Active,2,16,1 Year,2 Years,College,Low,Very High,Excellent,Very High,Best,Hunt,Female,109673,Other,1313
Media Relations,Group D,Part Time,Single,55,Houston,00:00.0,Active,10,8,3 Years,2 Years,Masters,Low,High,Good,Medium,Better,Bernard,Female,110167,Other,1323
Payroll,Group D,Full Time,Single,48,New York City,00:00.0,Non Active,8,19,1 Year,2 Years,Masters,High,Medium,Excellent,High,Better,Powell,Female,78764,Other,1360
Payroll,Group D,Full Time,Single,37,Los Angeles,00:00.0,Active,7,18,3 Years,2 Years,College,Medium,Low,Outstanding,Low,Best,Conway,Male,115534,Other,1362
Legal Department,Group B,Full Time,Single,30,New York City,00:00.0,Non Active,8,17,1 Year,2 Years,Bachelor,Very High,Medium,Outstanding,High,Bad,Kennedy,Female,100627,Other,1368
Advertising,Group D,Part Time,Single,43,Los Angeles,00:00.0,Non Active,11,7,3 Years,2 Years,Doctor,High,Medium,Low,Very High,Bad,Banks,Female,105043,Other,1382
Sales and Marketing,Group B,Full Time,Single,44,Houston,00:00.0,Non Active,1,15,2 Years,2 Years,Bachelor,High,High,Excellent,Low,Bad,Sandoval,Female,99247,Other,1387
Tech Support,Group C,Full Time,Single,45,Houston,00:00.0,Active,9,20,2 Years,2 Years,Bachelor,Medium,Medium,Excellent,High,Good,Christensen,Male,103929,Other,1439
Media Relations,Group C,Part Time,Single,32,Los Angeles,00:00.0,Active,10,11,3 Years,2 Years,Doctor,High,High,Excellent,Medium,Bad,Douglas,Male,111712,Other,1546
Quality Assurance,Group A,Full Time,Single,24,Houston,00:00.0,Active,8,16,2 Years,2 Years,Doctor,Medium,Low,Outstanding,Very High,Better,Garrett,Female,86145,Other,1595
Public Relations,Group C,Full Time,Single,44,Houston,00:00.0,Active,10,9,2 Years,2 Years,Bachelor,Low,Medium,Excellent,Medium,Good,Keith,Male,79340,Other,1631
Legal Department,Group D,Full Time,Single,46,Los Angeles,00:00.0,Active,7,14,2 Years,2 Years,Doctor,High,Medium,Excellent,Medium,Good,Estrada,Male,92890,Other,1668
Customer Service,Group D,Part Time,Single,36,Los Angeles,00:00.0,Non Active,9,18,3 Years,2 Years,Doctor,Medium,Very High,Outstanding,Low,Good,Stephenson,Female,103900,Other,1669
Sales and Marketing,Group A,Part Time,Single,46,Los Angeles,00:00.0,Non Active,11,13,2 Years,2 Years,Doctor,Medium,Low,Outstanding,Very High,Best,Williamson,Male,82816,Other,1720
Legal Department,Group A,Full Time,Single,48,Houston,00:00.0,Active,12,9,3 Years,2 Years,Doctor,Medium,High,Good,High,Bad,Burris,Female,90489,Other,1722
Customer Relations,Group D,Part Time,Single,34,Los Angeles,00:00.0,Active,8,8,2 Years,2 Years,Masters,High,Low,Outstanding,Medium,Better,Lancaster,Female,106503,Other,1757
Sales and Marketing,Group B,Part Time,Single,35,New York City,00:00.0,Non Active,3,14,3 Years,2 Years,Bachelor,High,Low,Excellent,Medium,Best,Ingram,Female,72465,Other,1833
Human Resources,Group D,Part Time,Single,53,Los Angeles,00:00.0,Active,2,9,2 Years,2 Years,College,Medium,High,Low,Very High,Best,Velasquez,Female,99853,Other,1835
Legal Department,Group B,Part Time,Single,39,Los Angeles,00:00.0,Non Active,8,15,2 Years,2 Years,Doctor,Medium,Very High,Outstanding,Very High,Better,Lewis,Male,90545,Other,1837
Research and Development,Group A,Full Time,Single,36,Seattle,00:00.0,Non Active,8,19,2 Years,2 Years,Bachelor,High,Very High,Low,Medium,Best,Carson,Female,103105,Other,1858
